Country Name	Url	Total cases	Active Cases	Total Deaths	Totat Recovered	Total Tests	Deaths/million, Tests/million	New Cases	New Death	New Recovery
world		704511530	22142657	7008666	675360207	0	899.1	0	+5540	+33	+33041
USA	country/us/	111752653	851381	1218763	109682509	1186851502	3640	3544901	+3332	+33	+32058
India	country/india/	45033893	N/A	533540	N/A	935879495	379	665334	+71	0	N/A
France	country/france/	40138560	0	167642	39970918	271490188	2556	4139547	0	0	0
Germany	country/germany/	38826304	402813	182891	38240600	122332384	2180	1458359	0	0	0
Brazil	country/brazil/	38694221	1734094	710966	36249161	63776166	3301	296146	0	0	0
Japan	country/japan/	33803572	N/A	74694	N/A	100414883	595	799578	0	0	N/A
Italy	country/italy/	26722143	169361	196446	26356336	280910073	3260	4661420	0	0	0
UK	country/uk/	24910387	3063	232112	24675212	522526476	3389	7628357	0	0	0
Russia	country/russia/	24082671	179852	402612	23500207	273400000	2761	1875095	0	0	0
Turkey	country/turkey/	17232066	N/A	102174	N/A	162743369	1194	1902052	0	0	N/A
Spain	country/spain/	13914811	30634	121760	13762417	471036328	2606	10082298	0	0	0
Australia	country/australia/	11842516	11527	24356	11806633	81916639	934	3142326	+2059	0	0
Vietnam	country/viet-nam/	11625195	941018	43206	10640971	85826548	437	867342	0	0	0
Argentina	country/argentina/	10094643	0	130733	9963910	35716069	2841	776264	0	0	0
Netherlands	country/netherlands/	8635591	530	22992	8612069	25984435	1336	1509718	0	0	0
Mexico	country/mexico/	7702809	467986	334958	6899865	20013810	2546	152124	0	0	0
Iran	country/iran/	7627186	N/A	146811	N/A	57320267	1707	666338	0	0	N/A
Indonesia	country/indonesia/	6829162	19995	162063	6647104	114158919	581	408975	0	0	0
Poland	country/poland/	6661789	N/A	120597	N/A	39317656	3195	1041809	+34	0	N/A
Colombia	country/colombia/	6400173	44821	143200	6212152	36951507	2780	717327	0	0	0
Ukraine	country/ukraine/	5557995	0	112418	5445577	32603805	2603	754855	0	0	0
Chile	country/chile/	5376599	59652	64497	5252450	50382097	3350	2617225	0	0	0
Malaysia	country/malaysia/	5277541	7980	37348	5232213	68580916	1126	2066869	0	0	0
Canada	country/canada/	4944196	10556	58972	4874668	66572774	1536	1734189	0	0	+508
Belgium	country/belgium/	4861319	946	34376	4825997	37454182	2946	3209915	0	0	+40
Israel	country/israel/	4841772	30592	12707	4798473	41373364	1363	4436346	0	0	0
Thailand	country/thailand/	4768647	41435	34576	4692636	17273454	493	246488	0	0	0
Peru	country/peru/	4572667	0	222161	4350506	39010194	6595	1158115	0	0	0
Philippines	country/philippines/	4140383	6138	66864	4067381	36102746	594	320888	0	0	0
South Africa	country/south-africa/	4076463	61362	102595	3912506	26795090	1689	441027	0	0	0
New Zealand	country/new-zealand/	2613670	2894	5674	2605102	7768604	1158	1586011	0	0	0
Iraq	country/iraq/	2465545	673	25375	2439497	19544451	602	463523	0	0	0
Bangladesh	country/bangladesh/	2048914	N/A	29492	N/A	15254399	176	90862	0	0	N/A
Pakistan	country/pakistan/	1581936	12583	30664	1538689	30589153	134	133292	0	0	0
Morocco	country/morocco/	1278992	N/A	16303	N/A	13001033	432	344191	0	0	N/A
Costa Rica	country/costa-rica/	1238883	N/A	9428	N/A	4659757	1819	899158	0	0	N/A
Bolivia	country/bolivia/	1211716	12164	22407	1177145	2710261	1868	225993	0	0	0
Tunisia	country/tunisia/	1153361	N/A	29423	N/A	5013383	2442	416164	0	0	N/A
Cuba	country/cuba/	1115249	62	8530	1106657	14402039	754	1273880	0	0	0
Panama	country/panama/	1059893	64	8727	1051102	7882622	1962	1772585	0	0	0
Uruguay	country/uruguay/	1041111	2503	7664	1030944	6114822	2192	1749083	0	0	0
Paraguay	country/paraguay/	837602	N/A	20155	N/A	2657506	2759	363751	0	0	N/A
Venezuela	country/venezuela/	552695	302	5856	546537	3359014	200	114771	0	0	0
Egypt	country/egypt/	516023	49228	24613	442182	3693367	232	34792	0	0	0
Libya	country/libya/	507274	2	6437	500835	2483848	914	352782	0	0	0
Ethiopia	country/ethiopia/	501157	5412	7574	488171	5565340	63	46066	0	0	0
Zambia	country/zambia/	349304	3919	4069	341316	4112961	209	211244	0	0	0
Kenya	country/kenya/	344130	1132	5689	337309	3967062	101	70569	0	0	0
Botswana	country/botswana/	330635	785	2801	327049	2026898	1147	830300	0	0	0
Algeria	country/algeria/	272010	82068	6881	183061	230960	152	5093	0	0	0
Nigeria	country/nigeria/	267188	4080	3155	259953	5708974	15	26339	0	0	0
Zimbabwe	country/zimbabwe/	266359	1731	5740	258888	2525756	374	164744	0	0	0
New Caledonia	country/new-caledonia/	80064	N/A	314	N/A	98964	1079	340182	0	0	N/A
Fiji	country/fiji/	69117	1006	885	67226	672883	973	739866	0	0	0
Papua New Guinea	country/papua-new-guinea/	46864	26	670	46168	249149	72	26813	0	0	0
